id,domain,capability,evidence,readiness,current_sybilsight,next_gate,risk
R1-173,Health,"Exact activity delta cache, 144-entry offline FIFO and three-source daily sync","Event000B carries all-kcal/active-kcal/steps/duration/timestamp; accumulator5AA14 selects the local ten-minute bucket for timestamp-minus-duration, logs but does not split a crossing, and packs steps[11:0], active-kcal[21:12], all-kcal[31:22] with independent wrap. Cache200166C4 has144 packed words plus signed offset/reserved/day. Reset48288 preserves the reserved UInt16. Invalid-clock read482A8 reproduces the unsigned-offset bug, per-nonzero-word clock/enqueue path and forced redaction. FIFO200067A8/20015A6C has144 entries of16 bytes with one retained byte, oldest overwrite, repeated-bucket last-wins merge and prefix ACK consumption. Sync8BAEC combines a three-day flash window, FIFO and current RAM through a49C-byte builder; ACK3C0D8 modes0/2 update cursor and mode1 consumes FIFO","Firmware-confirmed17 exact ranges,11 complete branch sets,17 RAM/callback/cutoff literals and metric4 descriptor. Twelve production-Thumb cases pin crossed-bucket selection, independent wrap, reset preservation, valid/plausible/negative-offset/backward-clock reads, per-word queue clocks, retained byte,145th overwrite, prefix consume and repeated-bucket merge. Stock daily callbacks lack index bounds","Swift adds strict12-byte delta and584-byte cache models, pure bounded accumulator/reset/read/write, exact144-by16-byte FIFO enqueue/overwrite/consume/day merge, seven-byte packet encoding and mode-specific ACK replay. Cache/FIFO capture requires health consent and retains the app-ignored active-kcal field while bytes5...6 remain all-kcal. Static parser/emulator and focused isolated XCTest pass. No private publisher, live SRAM/clock/BLE/sensor/flash/health access or calorie-unit reinterpretation is exposed","Capture synchronized event fields, both bucket resolutions, cache metadata, every per-word clock sample, FIFO, flash/offline/RAM packet order and ACK across bucket/hour/day/timezone boundaries, negative offsets, rollback and overflow on owned hardware. Confirm active-kcal versus all-kcal semantics and compare another official revision before archival/UI changes","High"
R1-174,Health,"Exact public activity daily route and all-day accumulator refresh","Registered0501 handler immediately returns an empty status-zero type2 response with the request serial then emits event000E [4,1,serial,search-residue9] to daily sync8BAEC. Registered0502 emits no response and event000E [4,0,serial,search-residue7]; consumer8BA48 discards that serial, publishes system1009 and reaches accumulator49068/internal event000B. The fourth word is inherited from dispatcher binary-search r3, not caller context, and the consumer ignores it. A complete sender audit finds no reachable direct0502 response. Both handlers ignore request status bits0/1. The separate cross-version all-day response parser requires14 bytes and includes its own context/timestamp/steps/reserved/all-kcal fields","Firmware-confirmed dispatcher/search provenance plus9 exact route ranges, complete branch sets, both registrations and sole aligned MOVW0502 negative evidence. Production-Thumb cases pin daily response/event, all-day event/no response, both ignored status bits and unrelated flag bits; static and emulated evidence agree","Swift adds production-exact pure route/consume evidence with fixed residues9/7 and rejects arbitrary legacy context, firmware-gated no-response transport for activity/0x02 on application2.2.6.0009, normal response discovery on unknown versions, strict14-byte all-day response decoding and lossless reserved/trailing/all-kcal retention. Static parsers, production handler emulator, workspace build and focused XCTest pass. No private event, BLE response spoofing, live SRAM/clock/sensor/flash/health access is exposed","Passively observe the all-day command, residue, accumulator delta, automatic-sync cooldown and any later notification on an owned ring; repeat sender audit/capture on another official revision. Keep version gate until an alternate route is proven and do not present refresh success as returned current totals","Medium"
R1-175,Health,"Exact cumulative-activity producer, refresh state and calorie-field order","State20006EBC is24 bytes: window/grace bytes, reserved UInt16, grace timestamp, baseline/current steps UInt32 plus all-kcal and active-kcal UInt16. Periodic48E68 replaces current, cleans at exact local midnight and emits only at window remainders595...599; refresh49068 uses current and can emit at0...599. Both rebase rollback; periodic sets the suppression byte, refresh preserves it. Sleep-result status1 or wear-fusion state0 rebases; wear state2 is eligible; state1 waits through elapsed900 and rebases at901. Event000B is all/active/step-low16/duration/time. Packed storage is steps/active/all and first-party daily parsing skips active but reads all","Firmware-confirmed7 exact ranges,5 complete branch sets,5 state literals and subscriber/event/cache/first-party cross-evidence. Thirteen production-Thumb sequences pin early/tail/repeat, refresh, rollback, midnight, low16 steps, grace0/900/901, unavailable and pending-delta behavior with reserved/flag preservation","Swift adds pure periodic/refresh/pending replay, typed counters/transitions, exact24-byte consent-gated state decoding, corrected event/cache/FlashDB/daily-item field names and lossless active/all archive keys. Static parser, both production emulators, Swift parse and focused XCTest pass. No live state reader, publisher, clock, algorithm, BLE, sensor, flash or health-store access is exposed","Passively capture cumulative input,24-byte state and event11 around seconds594...599, explicit refresh at varied remainders, local midnight, sleep-result/wear-fusion transitions, rollback and UInt32 step growth on owned hardware. Validate active/all calorie accuracy and compare another official revision before product semantics","High"
R1-176,Health,"Exact higher wear-fusion state, health eligibility and public mapping","State2001E454 is41 bytes: five UInt32 IR slots/count, reserved bytes, previous history-last, living status/tick, internal state, policy, charge and low-IR/table counters. Internal0 is not worn,1 suspected worn,2 living-confirmed worn; only exact2 is health-eligible. Wear-on requires latest IR>9050000 plus prior-missing/range>=100000, or any motion variance>2000. Living status resolves inside inclusive800h ticks; five IR<9050000 or60 strict stationary-table decisions reject outside it, with sleep status1 preserving state1. Notification maps all nonzero states to worn, while explicit query anomalously maps state2 to unknown","Firmware-confirmed20 exact ranges,11 complete direct-branch sets and state/accessor/callback literals. Twelve production-Thumb fixture groups pin strict IR/motion/gravity/variance boundaries, living confirmation/rejection, five/60 counters, sleep preservation, state2 health eligibility, boolean normalization and distinct explicit-query/notification mappings","Swift adds a lossless consent-gated41-byte decoder, bounded ADT history update, living callback update, pure fusion transition replay, exact health-eligibility helper and source-distinct public mappings. Static parser, production emulator, Swift parse and focused isolated XCTest pass. No live SRAM, optical/living subscription, clock, sensor, BLE, charge control or health-store access is exposed","Passively capture synchronized41-byte state, local wear-runtime bytes, ADT, motion, living callback, sleep-result status, charge and both public query/notification results on an owned ring. Establish tick duration and physical units, then compare another official revision before reconciling the first-party query anomaly in product UI","High"
R1-177,Health,"Exact wear runtime, charge timers and sleep-result living bridge","Runtime20006E94 is32 bytes: wearled/sleep/sleep-living/reserved bytes plus opaque acc,adt,wear,ADT-7s,charge-60s,raw_hr and raw_hr-3s handles. Wearled0 starts ADT while not charging; wearled1/charge1/timeout stops it and clears history count/previous. Charge1 reports not-worn without rewriting internal wear state; the fallback clears only when normalized hardware charge is0, where raw10/11/12 map1 and13 maps2. Sleep bridge20006ED4 is12 bytes: status/mode5/reserved plus delayed-history and five-second vivo timers. Status0-to1 probes unless wear state2; timeout at state0 forces awake/final result and schedules event000E [6,1,0,0,context] after3s","Firmware-confirmed18 exact ranges,11 complete direct-branch sets,34 state/callback literals and10 exact topic strings. Nine production-Thumb fixture groups pin ADT start/stop, sleep confirmation reset, charge entry/normalization/zero-clear, status publications, confirmed-state skip, mode5/timer rollback, forced-awake finalization and delayed history payload","Swift adds lossless consent-gated32/12-byte decoders and pure caller-supplied-handle replay for initialization, wearled, ADT, living callback, sleep confirmation, charge and both sleep timers. Static parser, production emulator, Swift parse and isolated SDK build pass; the focused test source is standalone typechecked and the whole-app simulator build succeeds. No live subscription, timer, GoMore authorization, private event, charge/sleep mutation, SRAM, BLE, sensor or health-store access is exposed","Passively capture both state blocks, every topic callback/handle/timer, lower charge raw and normalized status, internal/public wear, mode5 result, sleep shutdown/final result and delayed history context on owned hardware. Establish timer semantics and repeat on another official revision before any source-aware product reconciliation","High"
R1-178,Health,"Exact final-sleep validation, low-power finalization and GoMore lifecycle publication","Predicate4A3E8 drops every compact sleep result when runtime living-confirmation is0 and drops exact type1 only when UInt16 compact-stage count at+1E is0. Publisher4A704 emits accepted header-plus-one-byte-stage records on event000D and frees resolved records after either decision; its UInt16 32+count length wraps. Low-power4A5BC acts only on bridge status1, clears it, shuts sleep down, requests finalization and directly emits event000C [0] while preserving other bridge fields. GoMore consumer6C294 gives lifecycle bit02 period-on precedence over bit04 period-off, nests final bit08 under off and toggles PPG authorization mode4 from current signed request+62 versus previous low bit+40","Firmware-confirmed5 exact ranges,6 complete direct-branch sets,11 literals and8 diagnostic strings. Eight production-Thumb fixture groups pin living/type/count predicate boundaries, accepted/drop frees,34-byte publication,65504-count zero-length wrap, exact low-power mutation/return, period precedence, final nesting and both PPG toggle directions","Swift adds consent-gated stock-versus-bounded publication inspection, rejecting wrap, captures beyond the 2880-byte production builder workspace and truncation; pure low-power and lifecycle replay reuse the exact bridge/flag types. Static parser, production emulator, Swift parse, public-API typecheck, isolated SDK build and whole-workspace simulator tests pass. No live finalization, private event, GoMore authorization, timer, SRAM, BLE, sensor, flash or health-store access is exposed","Passively capture compact final records, living byte, event13 length and freeing lifecycle plus bridge low-power transition and GoMore output bytes on owned hardware. Compare another official revision before productizing any captured sleep inspection","High"
R1-179,Health,"Exact validated-sleep duration gate, private storage fallback and automatic-sync trigger","Event000D first reaches8DD90, which computes wrapping UInt32 end-minus-start and drops only values below3600; exactly3600 and corrupt backwards time pass. It emits private storage event2000 with wrapping UInt16 32+compact-count; enqueue failure directly calls storage consumer8DC94. That consumer rejects null, calls append5B890 and reaches common sync gate8B138 with raw6 only after nonzero append. Appender requires initialized flag200067B4, accepts through3888 bytes, attempts twice, uses rollover when no writable sector and calls private reset5B2F8 after two failures","Firmware-confirmed3 exact ranges,8 complete direct-branch sets,7 literals and9 diagnostic strings. Nine production-Thumb fixture groups pin3599/3600, backwards time, event2000, queue fallback, null/fail/success append, sync argument6 and both zero-length wraps without executing the flash writer/reset","Swift adds consent-gated pure initial-delivery and second-stage storage plans with stock versus bounded capture disposition, explicit backwards-time flag, caller-supplied append/phone/clock outcomes and exact five-leg batch selection. Static parser, production emulator, Swift parse, public-API typecheck, isolated SDK build and whole-workspace simulator tests pass. No live event, append, rollover, reset, flash, clock, connection, BLE, sensor, SRAM or health-store access is exposed","Passively capture event13-to2000 dispatch, duration and compact count, enqueue return, append result, shared sync timestamp and serial-zero batch on owned hardware. Verify power-loss/rollover only on sacrificial hardware with recovery and compare another official revision","High"
R1-180,Storage,"Exact sleep.db append retry, rollover and reset planner","Appender5B890 requires initialized byte200067B4, a nonnull record and length at most3888 inclusive. Each of at most two attempts calls finder8FE28; only FFFFFFFF invokes rollover8FC6C. Writer8FE98 receives low8(selected sector) in r0, record pointer in r1 and length in r2. Any nonzero writer result returns1 immediately; two zero results call private reset wrapper5B2F8 and return0","Firmware-confirmed exact append SHA range,5 complete direct-branch sets,3 literals and4 diagnostics. Eight isolated production-Thumb groups pin all guards,3888/3889 boundary, direct/rollover first success, second success and both two-failure reset paths. Finder, rollover, writer, logging and reset are intercepted, so no effectful implementation executes","Swift adds a pure Codable planner with exact attempt traces, raw and low-byte sector results, stock return and reset-request outcome; missing path evidence yields no plan. Static parser, production emulator, Swift parse and isolated SDK build pass. Focused XCTest covers constants, guards, retry, rollover, reset, low-byte truncation and round-trip; the focused test source is standalone typechecked and the whole-app simulator build succeeds. No live event, flash, selector, writer, reset, BLE, sensor, SRAM or health-store access is exposed","Passively instrument finder/rollover/writer results on owned sacrificial hardware, including full sectors, both write failures and power-loss boundaries, only with a proven backup/recovery path. Compare another signed official revision before relying on sector policy; never expose reset or append as a phone command","Critical"
R1-181,Storage,"Exact sleep.db writable-sector, rollover-victim and close-sequence policy","Count8FE14 is low8(partition-length>>12), yielding2. Finder8FE28 returns the first header with erased word0, or erased word1 plus erased sequence, or full-word0 plus mismatched word1; otherwise FFFFFFFF. Rollover8FC6C selects the strict lowest non-erased sequence, first on ties, falls back to0 when all erased, ignores state words and requests a4096-byte erase. Closer901E4 writes CCFFAABB/66889977/(minimum non-erased sequence+1 or1)/0 and succeeds only when writer returns0","Firmware-confirmed4 exact ranges,4 complete direct-branch sets,8 literals and6 exact diagnostics. Twelve isolated production-Thumb groups pin every finder predicate/no-match and read short-circuit, strict minimum/tie/all-erased rollover, exact erase address/length, first/minimum-not-maximum close sequence, exact16-byte header and both writer returns. All partition callbacks are intercepted and fixture bytes stay unchanged","Swift adds pure Codable raw-header inputs, first-match finder decisions and non-mutating rollover/close plans with raw results, offsets, exact header bytes and destructive-production flags. Static parser, production emulator, Swift parse and isolated SDK build pass; focused XCTest covers constants, all predicates, tie/fallback/minimum semantics, encoded header, result polarity, bounds and round-trip; the focused test source is standalone typechecked and the whole-app simulator build succeeds. No live partition, read/write/erase/close, BLE, sensor, SRAM or health-store access is exposed","Passively capture both sector headers and helper results across first use, eighth record, body exhaustion, rollover and power loss only on owned sacrificial hardware with byte-for-byte backups and a proven recovery path. Test interrupted headers without inducing them on a primary ring, compare another signed revision, and never expose erase/close as phone commands","Critical"
R1-182,Storage,"Exact sleep.db record placement, body/header transaction and final-slot close","Writer8FE98 aligns (length+3)&FFFC, scans8 headers, requires both copied timestamps erased, starts bodies atD0 and otherwise chains prior offset+length. All occupied returns0 without close; capacity requests close and returns0. It writes aligned body first, then20 header bytes: length@0,offset@2,reservedFFFF@4,UTC@6,start@8,end@12,reservedFFFF@16,CRC16/MODBUS@18; sync marker@20 stays erased. Slots0...6 return1; slot7 returns closer result","Firmware-confirmed exact SHA-pinned writer range,3 complete direct-branch sets,3 literals and7 diagnostics. Eleven isolated production-Thumb groups pin first/later placement, asymmetric timestamp occupancy, all-full/capacity exits, body/header failures, exact headers/CRC,3888/3889 boundaries and both final-close returns. All partition/close callbacks are intercepted, CRC uses the tested reference and fixture bytes remain unchanged","Swift adds a pure Codable record-writer replay with exact offsets,20-byte header, transaction disposition, raw outcomes, stock return, orphaned-body flag and destructive-production classification. The physical capture decoder reads UTC at+6 and retains reserved/sync bytes. Static parser, production emulator, Swift parse and isolated SDK build pass; focused XCTest covers constants, guards, placement, failures, final-slot outcomes, boundaries and round-trip. No live partition, read/write/close, BLE, sensor, SRAM or health-store access is exposed","Passively capture headers and bodies across first/later/eighth records, full/capacity boundaries and power loss only on owned sacrificial hardware with byte-for-byte backups and recovery. Validate orphan cleanup and final-close failure without inducing either on a primary ring; compare another signed revision before relying on transaction semantics","Critical"
R1-183,Storage,"Exact sleep.db initialization, record count and destructive full-reset policy","Init5B0F8 stores partition/device handles then sets initialized byte1; partition failure clears only partition and preserves prior initialized/device, while device failure clears both handles but preserves initialized. Counter5B32C scans2x8 headers and stops each sector when either timestamp is erased, unlike writer vacancy. Reset5B2F8 erases low8(length>>12) sectors of4096 bytes and ignores results. Delete-all5B23C resets only for nonzero count","Firmware-confirmed4 exact SHA-pinned ranges,4 complete direct-branch sets,7 literals and7 diagnostics. Eleven isolated production-Thumb groups pin success/both initialization failures with stale state, empty/split/asymmetric/full counts, successful/failed erase callbacks and empty/nonempty delete-all. All lookup/read/erase/log callbacks are intercepted, failure results do not alter requests and fixture bytes remain unchanged","Swift adds pure Codable initialization transitions, per-sector count/read traces, low-byte sector-count and explicitly destructive full-reset/delete-all plans. Static parsers, production emulator, Swift parse and isolated SDK build pass; focused XCTest covers all state edges, count termination/offsets,16-record maximum,1MiB low-byte wrap, erase plans and round-trip. Broad physical-summary header offsets were corrected to reserved@4/UTC@6. No live handle/partition/read/write/erase/reset, BLE, sensor, SRAM or health-store access is exposed","Passively capture runtime state and count across boot, missing-device fault injection, torn headers and full sectors only on owned sacrificial hardware. Observe erase results with a recoverable test backend before trusting error handling; never invoke full reset/delete-all on a primary ring or expose either as a phone command","Critical"
R1-184,Storage,"Exact sleep.db iterator, callback ABI and unsafe synchronization-marker commit","Iterator5B39C allocates232 bytes, scans2x8 headers, stops each sector when either timestamp is erased, skips marker11223344 for any nonzero flag, ignores header/body read results, skips lengths above232, aborts with event2002/return0 on CRC failure, and treats callback0 as early-success return1. Its8-byte callback metadata is sync bool/3 zero/header absolute address. Marker5B6F4 processes low8(byteCount/12), ignores partial tails/read results, compares only copied start/end, writes marker at arbitrary address+20 and continues after failure without retry","Firmware-confirmed2 exact SHA-pinned ranges,2 complete caller sets,8 literals and12 diagnostics. Seventeen isolated production-Thumb groups pin null/allocation/empty, include/skip, oversize continuation, CRC abort/event, callback stop, asymmetric termination, ignored nonzero reads, null/zero/partial marker batches, mismatch, failed-write continuation,256-context wrap and arbitrary address acceptance. Allocation/free/read/write/CRC/event/callback/log effects are intercepted and fixture bytes remain unchanged","Swift adds consent-gated pure iterator inputs/traces/plans, exact8-byte callback metadata, CRC/event and callback-return outcomes, plus a production marker replay preserving tail/count-wrap/arbitrary-address/failure behavior. The existing strict partition/slot reconciler remains the app-facing path. Static parser,17-case production emulator, Python compile, Swift parse and isolated dual-architecture SDK build pass; focused XCTest covers every policy edge and Codable round-trip. No live partition, private event, marker write, BLE, sensor, SRAM or health-store access is exposed","Passively capture iterator headers/bodies/callback metadata and ACK marker outcomes on owned hardware with explicit health consent. Correlate nonzero read errors, oversize/corrupt records and failed marker writes only through a recoverable instrumented backend; never feed arbitrary marker contexts or expose the unsafe writer as a phone command. Compare another signed revision","Critical"
R1-185,System,"Exact registered system-0x83 empty-success compatibility response","The complete20-byte handler84860 reads only the unaligned UInt16 request serial at+3, performs no local request-length check, ignores every other request byte and extra handler argument, and calls response helper8287C with identifier0083/type1/status0/no payload. Serial1234 produces exact8-byte logical header0301008334120000; the identifier bytes are0083 and the serial is little-endian. No state, event, sensor, storage or additional call path exists","Firmware-confirmed exact handler SHA8fca7ef3 and20-entry system-table SHA57bebd79, registration bytes8300000061480800 at9A564, complete response-helper caller set and no direct handler calls. Three isolated production-Thumb fixtures pin zero/1234/FFFF serials, ignored request bytes/arguments, exact headers, null payload pointer and zero length with final transport intercepted","Swift adds a pure Codable version-pinned response plan plus safe request replay requiring at least5 captured bytes; it deliberately exposes no live command descriptor or sender. Static parser, production emulator and Python compile pass; focused XCTest covers constants, three serial boundaries, truncation rejection, compatibility aliases, no-effect flags and Codable round-trip","Passively confirm the header on an owned ring or first-party trace and compare signed revisions. Do not infer a hidden control from registration alone or expose a live action unless a later official image gives the command a stateful semantic","Medium"
R1-186,System,"Exact system-0x7F delayed no-op heartbeat contract","The complete28-byte handler84130 ignores request pointer/flags/payload/serial, cancels every pending event matching Thumb callback4D2F1 with context filter0, then schedules the same callback with incoming transport/session context after raw7800=30720ms. Callback4D2F0 is exactly bx-lr and ignores context. Neither immediate handler nor delayed callback emits protocol traffic, so the registered heartbeatPack is not a liveness signal","Firmware-confirmed handler SHA52ea047b, callback SHAc7dfbb7d, system-table SHA57bebd79 and registration bytes7F00000031410800 at9A554. Static branch audit pins cancel call84138, schedule tail-call84148 and absence of all response helpers. Four isolated production-Thumb groups pin zero/ordinary/FFFFFFFF contexts, ignored request arguments and callback no-effect behavior with queue helpers intercepted","Swift adds a pure Codable cancel/schedule plan and marks exact-version0x7F registered-no-operation so existing snapshot/generic-send gates reject it instead of timing out. Connection liveness remains based on link state, routine status traffic and standard battery reads. Static parser, production emulator and focused XCTest cover constants, status, no-response/no-effect classification and Codable round-trip","Passively observe any0x7F traffic on owned rings and compare later signed revisions. Do not use this route as a watchdog or connection-health signal unless a different firmware proves a real response/callback effect","High"
R1-187,System,"Exact destructive system-0x82 remove-ring pairing-metadata route","Handler844B0 returns only when declared UInt16 frame length at request+8 equals12. Every other value, including0, is accepted without a minimum or payload-content read. It emits exact empty-success header03010082SSSS0000 first, clears dev_info flag04 and synchronously stores a full snapshot, then supplies the same six FF bytes to both peer setters, forces CAMH and synchronously stores a second snapshot. Setter/store results are ignored","Firmware-confirmed handler SHAf8b2bef3, payload-helper SHA1f018194, flag-setter SHA18434d69, peer-setter SHA6dc2ff34 and registration bytes82000000B1440800 at9A55C. Complete direct-branch sets pin all four routines and the two-store sequence. Three isolated production-Thumb cases prove length12 no-action, length13 destructive, and malformed length0 destructive behavior; the real response builder runs while final transport and both persistent setters are intercepted","Swift reclassifies removeRingNotification from readOnly to destructive, so the public read facade and final transport gate reject it. A pure identity-consent-gated Codable replay exposes exact response plus intermediate/final caller-supplied 52-byte dev_info states and no live sender. Static parser, production emulator, Python compile, Swift parse, focused tests, standalone test typecheck and isolated SDK build cover the boundary without BLE, KV, flash or pairing mutation","Passively capture official remove/unpair traffic and both KV snapshots only on an owned sacrificial ring with identity-data consent and recovery. Confirm dispatcher-level minimum length, response-before-write behavior and store-failure handling on instrumented storage; compare another signed revision. Never expose this coordinate as a read probe or generic sender","Critical"
R1-188,Protocol,"Exact system-0x7E pending-callback acknowledgement resolver","Wrapper842CC treats only declared frame length12 as no payload; every other UInt16 reaches a fixed six-byte read without a minimum check. Module/command/subcommand at payload0/1/2 and sequence UInt16LE at4 key a 32-entry table at20019EF4 with20-byte stride. Resolver83028 scans index0-first under lock, consumes only the first exact active match by clearing active/callback/context, unlocks, then invokes a nonnull callback with saved context. Null callbacks still consume; keys/tail and later duplicates remain; no protocol response is emitted","Firmware-confirmed wrapper SHAc12d71da, resolver SHAc9255dbf, payload-helper SHA1f018194, registration bytes7E000000CD420800 at9A54C and table literal F49E0120 at830A4. Complete direct-branch sets pin the sole resolver call and all payload/lock helpers. Five isolated production-Thumb groups prove header-only no-action, no-match, last-slot match, first duplicate only, post-unlock callback, null-callback consumption and declared length13 still reading six backed bytes","Swift adds a bounded pure Codable 32-slot transition replay that preserves the firmware defect as declared-length evidence but requires six actual backing bytes. The observed ten-byte phone encoder remains live only for eligible unsolicited-health notifications after matched-response and acknowledgment-loop filtering; generic public read cannot send acknowledgment descriptors. Static parser, production emulator, Python compile, Swift parse, focused XCTest and isolated SDK build cover the contract without BLE, live callbacks, sensors or storage","Passively correlate ring callback registration/removal with phone ACKs across HR, SpO2, HRV, activity and sleep on owned hardware. Capture duplicate/time-out races, sequence wrap and short/malformed declarations only with an instrumented nonproduction transport; compare another signed revision before generalizing table size or tail meaning","High"
R1-189,Identity,"Exact production deviceInfo and deviceSn response constructors","Handler83D5C formats compiled application2.2.6.0009 and hardware603MV1.9.3 strings into two consecutive16-byte slots and sends an exact32-byte response through the current EUS session. Handler83DB0 requests the persisted product serial with a null length pointer, returns exactly15 bytes with no NUL requirement, fills all15 bytes with FF when unavailable, and uses the incoming session","Firmware-confirmed handler SHAs ca488bc5 and8450589e, response-wrapper SHA5042d1ee, serial-getter SHAe0798f9c, and registrations020000005D3D0800 at9A4D4 plus10000000B13D0800 at9A534. Static call/literal checks pin both format calls, source strings, session differences and fixed lengths. Three isolated production-Thumb groups prove exact device-info bytes, a synthetic15-byte serial and the15-byte FF sentinel with final transport/storage intercepted","Swift corrects production decoding to exact32-byte two-16-slot identity while retaining broader64-byte compatibility, accepts exact15-byte and broader30-byte serial responses, maps all-FF to unavailable, and adds pure Codable response plans. Serial replay requires explicit identity-data consent; no live storage read, real identifier fixture, BLE, sensor, flash or health-store access is exposed","Passively confirm redacted response lengths, slot padding/termination and session behavior on an owned ring with explicit identity consent. Compare later signed revisions before assigning the broader controller shape, and preserve redaction for serial values in capture/export/logging","Medium"
R1-190,Status,"Exact requested/unsolicited device and wear status constructors plus phone/G2 fan-out","Requested deviceStatus emits percent,state,0100,000000 with full3 overriding charging1/not-charging2; unsolicited emits percent,charging1-or2,0000,000000. Requested headers are type03 with echoed serial; notifications type02/serial0. Explicit wear query reads state once when zero but twice otherwise: first0 maps1, first-nonzero plus second1 maps2, else0. Unsolicited wear maps zero1/nonzero2, sends phone first, then independently relays00098C00 plus nonzero boolean to glasses","Firmware-confirmed9 exact SHA-pinned ranges, registrations01000000E53D0800 at9A4CC and03000000254B0800 at9A4DC, requested template0002010000000000 at9A4C4, state literals2001E454 and complete response/accessor/fan-out branch sets. Eleven isolated production-Thumb groups pin all charge states and precedence, both producer tails/types, wear zero/confirmed/race mappings, exact headers, phone-before-glasses order and independent FFFF session suppression with both transports intercepted","Swift adds pure Codable exact status plans retaining constructed payloads when transport is suppressed, conditional wear sample history and optional five-byte glasses frame. Existing decoders identify producer bytes and preserve all raw tails; public reads remain normal catalogued status reads while no unsolicited or low-level glasses sender is exposed. Static parser, production emulator, Python compile and Swift parse cover the contract without BLE, live SRAM/storage, sensors or health stores","Passively capture requested/unsolicited status and synchronized phone/G2 wear traffic across full/charging transitions, internal states0/1/2, state changes between query samples and either session disconnect on an owned ring. Compare another signed revision before reconciling the query anomaly or depending on the private glasses frame","High"
R1-191,Connection,"Exact pairAuth role/security event and two-target advStart routing","PairAuth842EC returns silently only for declared length12; every other UInt16 reaches request+12 without a backing-length guard. Byte1 requests phone-role assignment, queues event2 payload01 and returns one zero byte; invalid/same/conflicting phone and glasses-role fatal outcomes are distinct. Its consumer cancels timers and either calls pm_conn_secure(session,0) with delayed context1 or schedules already-encrypted context0 follow-ups. AdvStart83D04 rejects declared lengths12...23, accepts >=24 and wrapped0...11, emits status before queuing event0200 through the current EUS session, and consumes two six-byte targets. Its consumer stores both, disconnects a connected glasses peer matching neither, otherwise selects fast advertising when either role is absent and stop when both are present. Target0/1 persist at dev_info offsets8/14; firmware assigns no right/left label and no phone address enters these slots","Firmware-confirmed10 exact SHA-pinned ranges including pairAuth bf7918d4,role setter51bdbf64,event consumer084b42ae,advStart435f5023,target storeb25b8d7a and persistent setter6dc2ff34; registrations08000000ED420800 at9A4FC and0A000000053D0800 at9A50C; complete persistent-setter callers prove one two-target store plus connection-reset/remove-ring erase paths. Eleven isolated production-Thumb groups pin header-only,nonphone,assignment,malformed,older-six-byte rejection,exact-two-target success and allocation/queue failure behavior with all effects intercepted. Android2.2.0's one reversed right MAC and outer-length23 trace prove revision incompatibility","Swift adds pure Codable handler/consumer/security/timer/advertising plans,labels protected KV target0/1 aliases without logging values,and corrects live preflight to a12-byte right-plus-left payload,duplicating right when left is unavailable. No low-level role,security,timer,disconnect,persistence,advertising,malformed-frame or event sender is exposed. Static parser,production emulator,Swift parse,SDK build and focused typecheck pass without BLE,Peer Manager,live memory,storage or hardware effects","Passively capture unbonded/bonded/already-encrypted/conflicting-session startup and exact right/left target handling plus protected dev_info retention on an owned2.2.6.0009 ring; compare older six-byte and another signed revision. Instrument allocation/queue failures only in a recoverable nonproduction backend; never send malformed declarations or trigger the glasses-role fatal branch on a primary ring","Critical"
R1-192,Connection,"Exact systemTime handler and phone-mediated user-profile/NV follow-ups","Complete handler846DC...847BC cancels delayed callback84C83 before payload inspection. Declared length12 alone returns; every other UInt16 reads six timezone/timestamp bytes without a backing guard, while Android2.2.0 officially supplies12 bytes with a six-zero tail. Accepted order is internal event0003, echoed-serial ACK, serial-zero userInfo request, NV-state classification, then one current-EUS follow-up: raw00/FF requests a phone backup or any other value reports a121-byte nested record containing the116-byte identity/calibration body. The event publisher result is ignored","Firmware-confirmed11 exact SHA-pinned ranges including full handler22a7633d, payload1f018194, cancellation75633aa4, event publisherdda68ce9, NV classifieradd7cc3f, request166e7c2d and report7716a9fd; registration05000000DD460800 at9A4EC; complete branch/call/literal checks. Five isolated production-Thumb groups pin header-only cancellation, six-byte lost-NV, official12-byte valid-NV, malformed declared0 and ignored event failure with clock, event, transport and NV effects intercepted. First-party AOT syncTime and RingNvRecoverDiskCache corroborate the official phone role","Swift adds a bounded pure Codable handler plan preserving exact headers, sessions, effect order, ignored result and unsafe-declaration evidence while requiring six actual backing bytes. The live authenticated encoder emits the official12-byte zero-tailed payload; R1-193/R1-194 implement version-gated, consent-gated exact userInfo and NV phone responders and protected persistence plans. Static parser, production emulator, Python compile and Swift parse pass without BLE, clock, health database, storage or recovery writes","Passively capture startup ACK/userInfo/NV order and sessions on an owned ring in valid and naturally lost-NV states, then validate the R1-193/R1-194 responders with explicit profile/health/identity consent, exact ring binding, CRC and firmware provenance, protected-at-rest storage and manual review before any restore. Never send malformed declarations or blindly replay a backup","Critical"
